date,daily_returns
2012-08-24,0.018784057223674683
2012-08-27,-0.0013023916646933394
2012-08-28,-0.0019768820391226237
2012-08-29,-0.014251647447681036
2012-08-30,0.0020666759054510193
2012-08-31,0.0146263002826048
2012-09-04,-0.00702253433485934
2012-09-05,0.009011831759246771
2012-09-06,0.00616617623138698
2012-09-07,-0.026012580095232562
2012-09-10,-0.0032441077949119973
2012-09-11,0.013926944095429739
2012-09-12,0.019692739515370573
2012-09-13,0.012152625259890413
2012-09-14,0.012297477143849057
2012-09-17,0.003042380401868612
2012-09-18,0.00027068997449823277
2012-09-19,-0.004842615012106505
2012-09-20,0.001996565049377389
2012-09-21,-0.013291053357044492
2012-09-24,-0.024971409545592727
2012-09-25,-0.012412031950589444
2012-09-26,0.024264108962987613
2012-09-27,-0.0208639112311396
2012-09-28,-0.011564896080826904
2012-10-01,0.002911782101639332
2012-10-02,0.015333202280322544
2012-10-03,-0.0069253108943332945
2012-10-04,-0.0213107378524294
2012-10-05,-0.0220965690556093
2012-10-08,-0.0036353949574563778
2012-10-09,0.00795785169458197
2012-10-10,-0.019987205691906734
2012-10-11,0.0025696545136125342
2012-10-12,0.00801316153047246
2012-10-15,0.023682179091310145
2012-10-16,-0.00797008275718787
2012-10-17,-0.01857484856043998
2012-10-18,-0.036039453717754105
2012-10-19,0.03966614193886911
2012-10-22,-0.03260823620333413
2012-10-23,0.005664904882226535
2012-10-24,-0.011821733702965208
2012-10-25,-0.00908556972657982
2012-10-26,-0.014370860927152234
2012-10-31,0.002049150036954812
2012-11-01,-0.03309066166403963
2012-11-02,0.013559466019417479
2012-11-05,-0.003030338795503483
2012-11-06,-0.04263124528716256
2012-11-07,-0.03629360401819416
2012-11-08,0.01731287773128767
2012-11-09,-0.0077322414360397485
2012-11-12,0.00012526942136577496
2012-11-13,-0.011084955184951922
2012-11-14,-0.020973029354790625
2012-11-15,0.0039153761272401975
2012-11-16,0.07211215930927577
2012-11-19,-0.008513955420430229
2012-11-20,0.0014023555151294678
2012-11-21,0.017447035784226374
2012-11-23,0.03154855643044615
2012-11-26,-0.008057265957627263
2012-11-27,-0.0031464824378397314
2012-11-28,0.011013140288880431
2012-11-29,-0.006922763675851841
2012-11-30,0.001554811372334749
2012-12-03,-0.01764717924222524
2012-12-04,-0.06434556914060628
2012-12-05,0.015687306592911707
2012-12-06,-0.025572664503709066
2012-12-07,-0.0064305672761368
