date,daily_returns
2014-03-27,0.0027396769688070276
2014-03-28,-0.00539295344559721
2014-03-31,0.0182954198610337
2014-04-01,-0.0002821073418435154
2014-04-02,0.0048324514991181814
2014-04-03,-0.04668796293045955
2014-04-04,-0.009187318186839506
2014-04-07,0.03112515098020998
2014-04-08,0.01665164894575601
2014-04-09,-0.04110681745665959
2014-04-10,-0.019133006747388895
2014-04-11,0.0036185450433470767
2014-04-14,0.007361225869451049
2014-04-15,0.03746924166728787
2014-04-16,-0.036726919897940746
2014-04-17,-0.013952620779705311
2014-04-21,0.01170973478112811
2014-04-22,-0.014715506441539784
2014-04-23,-0.0033779936994725894
2014-04-24,-0.017099550613146504
2014-04-25,0.0018791894300438361
2014-04-28,0.020400270714493025
2014-04-29,-0.001970816751942538
2014-04-30,0.008905176014886369
2014-05-01,-0.00643643549449529
2014-05-02,-0.00022730286212188086
2014-05-05,-0.024004850230196398
2014-05-06,-0.010055518888069276
2014-05-07,0.0020393756373049267
2014-05-08,0.015127201565557765
2014-05-09,0.021571916025677984
2014-05-12,0.005982035024154727
2014-05-13,-0.0120805117334785
2014-05-14,-0.012664957751827513
2014-05-15,0.0012500480787722167
2014-05-16,0.01580777135393661
2014-05-19,0.0017206822221381237
2014-05-20,0.017309398418181614
2014-05-21,0.011355624002671708
2014-05-22,0.014016805489304115
2014-05-23,0.023973222362945537
2014-05-27,-0.0075448361162648555
2014-05-28,-0.0028485970659448603
2014-05-29,-0.0003392372518212658
2014-05-30,-0.01064494811480833
2014-06-02,-0.016229487480367368
2014-06-03,-0.0005138180350131874
2014-06-04,0.0169647119303786
2014-06-05,0.004387073478967438
2014-06-06,0.010407491956212973
2014-06-09,-0.0027929979363837793
2014-06-10,-0.003050575327802913
2014-06-11,-0.013402762865936599
2014-06-12,0.000743629273601103
2014-06-13,-0.013556618819776748
2014-06-16,-0.002333357830528371
2014-06-17,0.019078838327102658
2014-06-18,0.0027648770262211045
2014-06-19,0.002631104703550255
2014-06-20,0.015439643396362125
2014-06-23,-0.0005841224887158879
2014-06-24,0.024848570720130303
2014-06-25,-0.004579624989198959
2014-06-26,0.0021527777777777934
2014-06-27,-0.0033954680895295483
2014-06-30,0.012845918509247647
2014-07-01,-0.0005749395026342916
2014-07-02,0.004112752968652033
2014-07-03,-0.004241273750277937
2014-07-07,-0.01916702447402313
2014-07-08,0.008737677073666163
2014-07-09,-0.008644632689904211
2014-07-10,0.014148135177727065
2014-07-11,0.009824234262232907
2014-07-14,-0.0001538803494794259
2014-07-15,-0.0036252949827285555
2014-07-16,-0.015326433940891645
2014-07-17,0.037212806932321284
2014-07-18,-0.009427303891913714
2014-07-21,0.00894023444789384
2014-07-22,0.00208494468170967
2014-07-23,-0.004412899761736963
2014-07-24,-0.007297547821690471
2014-07-25,0.0026824216495196103
2014-07-28,-0.008449034879783286
2014-07-29,0.003090794214579576
2014-07-30,-0.026931326818970987
2014-07-31,-0.009674597620713737
2014-08-01,0.012507287084636045
2014-08-04,-0.014097531187298137
2014-08-05,0.002307678694674949
2014-08-06,-0.005321571964814787
2014-08-07,0.009603095711445556
2014-08-08,-0.0015647801395994626
2014-08-11,-0.00906881735577935
2014-08-12,0.02141346649370027
2014-08-13,-0.000226173492466675
2014-08-14,-0.002036021926389905
2014-08-15,0.015135662969937834
2014-08-18,0.008073381888140796
2014-08-19,-0.004038441877108688
2014-08-20,-0.0019162004482540412
2014-08-21,-0.001388484152424806
2014-08-22,-0.0040510848667946655
2014-08-25,-0.004033092037228596
2014-08-26,-0.011871387533312591
2014-08-27,-0.003152364273204824
2014-08-28,0.004216444132115209
2014-08-29,0.01002449265220437
2014-09-02,0.00105658808653632
2014-09-03,0.006990345018513969
2014-09-04,0.007044915632839655
2014-09-05,0.006210756210756187
2014-09-08,-0.014769721223631615
2014-09-09,0.0035971842136968933
2014-09-10,-0.0030012004801920765
2014-09-11,-0.009856368796766178
2014-09-12,-0.004377888190125398
2014-09-15,0.011952538823940016
2014-09-16,0.008311061298387682
2014-09-17,0.007695333207927904
2014-09-18,0.011556671814278784
2014-09-19,-0.014612132599651113
2014-09-22,-0.010623627355840456
2014-09-23,0.011804587613786955
2014-09-24,-0.02199016990084876
2014-09-25,0.0035474559176435112
2014-09-26,-0.0012822734361462643
2014-09-29,0.001735026719411479
2014-09-30,-0.0157440764860746
2014-10-01,0.0031851056715998718
2014-10-02,0.009121526803255562
2014-10-03,0.00359824780976229
2014-10-06,-0.023573222482029987
2014-10-07,0.015539078298506388
2014-10-08,-0.020296943231441055
2014-10-09,-0.029221936956211645
2014-10-10,-0.020716633914305078
2014-10-13,0.008870801372817497
2014-10-14,-0.014704242108785516
2014-10-15,-0.010414504839348682
2014-10-16,-0.02543326152027602
2014-10-17,0.018917385605571563
2014-10-20,0.01094385991859291
2014-10-21,0.011718008128537382
2014-10-22,0.0211559760470049
2014-10-23,-0.007720872090885777
2014-10-24,0.0018340805513357462
2014-10-27,0.015034118016901818
2014-10-28,0.0007833849517217411
2014-10-29,0.0017839914077146786
2014-10-30,0.0159364721702315
2014-10-31,-0.006904199756743245
2014-11-03,-0.0019992075213429157
2014-11-04,-0.014780458753677166
2014-11-05,-0.007107268464243838
2014-11-06,-0.001900228765404717
2014-11-07,0.011977597456608969
2014-11-10,0.005114248662075937
2014-11-11,-0.005415326464227986
2014-11-12,-0.0035263379072188526
2014-11-13,-0.0017969122446734721
2014-11-14,-0.014493019838354127
2014-11-17,-0.002758569271775024
2014-11-18,0.003663345980599287
2014-11-19,-0.004022421274139124
